SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Hocksprung,Hocksprung,5.485,8.427,-142.547,-8.347,9.153,-139.483,-7.773
generated_Mean_Hocksprung,Hocksprung,8.582,4.52,-172.173,23.133,8.653,-161.253,22.21
generated_Mean_Hocksprung,Hocksprung,1.315,1.373,-24.2,12.627,2.48,-27.957,10.853
generated_Mean_Hocksprung,Hocksprung,1.776,8.307,11.573,40.973,5.79,9.287,34.513
generated_Mean_Hocksprung,Hocksprung,1.622,-17.24,10.893,-27.227,-13.1,9.507,-16.283
generated_Mean_Hocksprung,Hocksprung,2.342,4.093,-23.08,8.467,2.473,-16.31,-6.207
generated_Mean_Schraubensalto A,Schraubensalto A,93.872,16.658,159.774,-84.075,31.565,171.967,-4.826
generated_Mean_Schraubensalto A,Schraubensalto A,9.538,70.369,139.853,72.644,67.952,142.055,74.989
generated_Mean_Schraubensalto A,Schraubensalto A,6.326,110.886,69.016,239.012,111.949,68.811,237.761
generated_Mean_Schraubensalto A,Schraubensalto A,9.39,191.241,-5.088,325.732,188.521,-6.417,325.444
generated_Mean_Schraubensalto A,Schraubensalto A,11.248,188.876,-142.372,367.363,183.848,-141.005,367.449
generated_Mean_Schraubensalto A,Schraubensalto A,13.822,9.187,-153.486,428.31,12.943,-145.994,428.079
generated_Mean_Schraubensalto A,Schraubensalto A,12.463,-55.547,85.725,345.002,-54.343,85.012,344.34
generated_Mean_Schraubensalto A,Schraubensalto A,9.534,-21.152,164.188,172.122,-21.274,164.571,175.539
generated_Mean_Schraubensalto A,Schraubensalto A,9.396,16.08,223.126,77.545,15.276,224.113,78.173
generated_Mean_Schraubensalto A,Schraubensalto A,6.756,48.876,321.563,11.701,47.567,326.407,10.641
generated_Mean_Fliffis B,Fliffis B,95.413,13.568,66.893,-22.049,10.842,77.414,-9.75
generated_Mean_Fliffis B,Fliffis B,24.941,-44.178,-485.808,19.95,-50.237,-509.947,47.376
generated_Mean_Fliffis B,Fliffis B,40.01,-51.435,-720.467,18.343,-50.932,-712.78,19.429
generated_Mean_Fliffis B,Fliffis B,39.994,-7.763,-598.783,37.946,-9.818,-595.738,39.634
generated_Mean_Fliffis B,Fliffis B,27.064,-21.576,-339.078,105.493,-23.544,-344.588,106.171
generated_Mean_Fliffis B,Fliffis B,20.703,-98.061,-215.986,189.483,-97.163,-211.316,190.816
generated_Mean_Fliffis B,Fliffis B,21.599,-96.194,26.666,276.824,-95.73,28.139,269.246
generated_Mean_Fliffis B,Fliffis B,16.73,-55.129,213.065,213.825,-54.054,211.108,211.551
generated_Mean_Fliffis B,Fliffis B,15.755,-6.141,204.451,85.467,-6.04,208.23,87.03
generated_Mean_Fliffis B,Fliffis B,15.505,34.413,348.387,41.148,34.132,345.861,37.901
generated_Mean_Barani B,Barani B,90.813,-14.834,-62.208,-29.9,-14.555,-61.045,-27.42
generated_Mean_Barani B,Barani B,20.155,56.448,-454.77,21.884,51.637,-445.417,14.239
generated_Mean_Barani B,Barani B,16.438,12.334,-423.814,78.314,14.156,-432.34,73.823
generated_Mean_Barani B,Barani B,5.712,-15.074,-141.506,49.058,-13.615,-147.253,58.964
generated_Mean_Barani B,Barani B,14.015,78.1,-47.226,371.77,71.087,-47.726,362.944
generated_Mean_Barani B,Barani B,10.356,-3.428,72.98,381.29,-0.652,71.198,380.807
generated_Mean_Barani B,Barani B,8.98,-0.004,140.242,204.784,-0.417,139.876,207.085
generated_Mean_Barani B,Barani B,7.049,0.61,189.282,54.396,0.98,191.07,57.813
generated_Mean_Barani B,Barani B,6.85,3.74,230.714,31.93,2.542,230.456,27.512
generated_Mean_Barani B,Barani B,7.609,24.69,265.22,-7.666,21.277,266.84,-10.155
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,101.917,15.356,25.691,-14.63,16.964,31.7,-7.011
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,29.367,-28.056,-629.064,28.37,-23.433,-603.289,48.325
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,44.684,-70.899,-777.56,53.017,-69.506,-770.679,47.481
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,38.156,-84.661,-638.195,34.638,-86.147,-624.979,29.764
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,29.664,-176.514,-226.342,-156.99,-160.871,-222.882,-144.55
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,35.128,0.722,11.736,150.938,-2.537,15.255,149.522
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,31.8,95.321,-358.145,129.242,91.712,-344.116,138.989
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,28.68,30.984,21.625,123.321,38.435,11.577,119.271
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,17.884,24.636,223.035,50.851,24.389,228.615,46.422
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,18.319,40.152,395.394,43.549,43.972,396.273,31.119
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,113.301,-11.347,208.6,-67.36,-9.263,225.582,-81.378
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,3.834,-213.72,147.36,-267.987,-211.512,162.202,-287.743
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,31.15,-575.627,-324.147,-93.52,-560.48,-318.468,-87.505
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,65.953,-534.28,-639.307,192.307,-530.37,-636.837,191.565
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,74.632,-412.787,-791.867,115.147,-411.68,-788.223,115.903
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,78.25,-298.773,-861.173,7.933,-296.87,-862.59,7.252
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,58.675,-9.547,-677.107,-218.28,-12.3,-658.617,-223.2
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,27.991,145.707,-87.987,-457.507,149.517,-95.038,-455.08
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,17.477,68.72,100.093,-364.28,67.33,104.162,-357.27
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,14.865,-14.8,338.32,-114.987,-15.86,334.918,-106.843
generated_Mean_Triffis C,Triffis C,110.579,7.4,33.608,-31.824,5.072,40.126,-22.27
generated_Mean_Triffis C,Triffis C,27.399,-38.92,-503.032,-55.376,-55.046,-542.96,-45.37
generated_Mean_Triffis C,Triffis C,62.768,-137.712,-785.432,76.672,-130.066,-783.056,68.326
generated_Mean_Triffis C,Triffis C,75.39,-139.912,-854.072,74.856,-141.462,-849.652,72.684
generated_Mean_Triffis C,Triffis C,77.714,-158.6,-862.832,74.128,-158.786,-862.092,77.012
generated_Mean_Triffis C,Triffis C,78.432,-153.928,-876.96,9.784,-152.062,-879.354,7.354
generated_Mean_Triffis C,Triffis C,55.87,53.2,-632.136,-231.336,49.318,-631.57,-232.988
generated_Mean_Triffis C,Triffis C,30.084,77.848,-121.88,-476.208,77.28,-120.358,-456.28
generated_Mean_Triffis C,Triffis C,18.824,116.688,170.328,-320.048,112.46,158.016,-312.892
generated_Mean_Triffis C,Triffis C,21.453,30.912,304.92,-59.528,33.818,304.56,-53.212
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,108.591,-3.92,96.007,-31.64,0.772,100.457,-37.507
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,23.999,68.64,-519.973,-67.447,78.335,-534.808,-45.413
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,29.222,-285.913,-283.8,-674.78,-280.778,-267.998,-654.198
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,31.517,-745.327,191.6,-628.153,-721.473,155.008,-628.935
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,45.851,-374.007,-670.333,-224.273,-394.098,-625.887,-202.18
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,44.614,-497.68,-107.553,-722.753,-496.042,-98.872,-702.967
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,37.045,-657.553,-194.207,-566.98,-643.053,-192.668,-580.528
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,32.434,-6.773,-107.673,-703.987,-18.19,-98.158,-689.005
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,19.509,-36.38,258.987,-268.053,-32.527,246.367,-259.537
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,23.658,-60.48,396.06,0.56,-45.96,404.232,5.852
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,106.494,-14.277,193.007,-60.587,-8.474,235.888,-73.267
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,13.397,-250.177,265.123,-235.707,-236.211,275.002,-249.378
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,29.252,-470.183,-119.557,-662.81,-461.564,-120.365,-655.602
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,50.35,-251.513,205.18,-1076.543,-275.463,195.489,-1033.818
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,33.774,-792.737,-64.437,-456.493,-769.308,-61.973,-454.878
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,47.187,-297.647,-679.997,-164.133,-301.924,-671.455,-173.208
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,32.682,-112.717,-205.17,-499.15,-108.508,-214.802,-486.929
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,21.345,37.89,152.233,-393.02,36.992,148.082,-394.082
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,18.016,13.913,185.55,-198.257,13.366,193.261,-196.56
generated_Mean_Voll- ein- voll- aus B,Voll- ein- voll- aus B,21.233,-33.037,321.51,10.947,-26.279,324.007,13.763
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,99.141,10.737,118.274,-18.714,6.406,127.029,-14.58
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,25.442,16.571,-533.223,18.074,17.616,-508.83,-8.05
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,23.638,-122.811,-288.554,-444.286,-118.701,-312.079,-455.294
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,33.389,-442.686,234.691,-839.451,-475.744,196.824,-815.329
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,45.401,-601.56,-467.394,-186.674,-600.191,-456.233,-187.461
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,50.923,-316.794,-746.726,-61.217,-317.55,-737.51,-60.871
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,23.596,-97.989,-322.914,-330.583,-98.017,-339.217,-343.583
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,23.525,-54.526,22.926,-516.006,-47.06,24.203,-496.71
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,17.661,23.377,148.977,-259.537,21.274,157.286,-256.969
generated_Mean_Voll- ein- halb- aus B,Voll- ein- halb- aus B,22.475,-4.114,357.96,-23.034,6.993,363.486,-17.816
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,96.242,-32.907,185.307,-134.92,-19.72,257.073,-94.51
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,13.877,-230.147,364.12,-219.2,-222.17,393.993,-244.657
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,24.518,-423.867,-33.893,-583.267,-416.753,-38.6,-582.073
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,50.901,101.053,-152.867,-955.133,69.513,-142.403,-939.743
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,45.51,-213.0,504.667,-509.347,-206.543,482.34,-528.583
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,23.247,-678.88,-99.587,-350.24,-662.073,-93.123,-356.793
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,45.668,-170.28,-393.093,-621.6,-172.89,-372.497,-621.5
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,37.55,151.467,288.653,-573.72,140.597,270.897,-584.14
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,25.92,-47.693,241.547,-111.56,-42.747,261.55,-115.517
generated_Mean_Voll- ein- voll- aus A,Voll- ein- voll- aus A,16.637,-61.507,417.493,39.453,-55.597,417.52,39.39
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,98.434,31.253,129.08,-156.853,32.377,217.277,-138.05
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,14.329,-218.84,275.76,-324.507,-223.35,298.923,-305.377
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,26.348,-416.853,-110.44,-623.787,-413.063,-117.667,-615.067
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,51.812,-87.44,-118.587,-1017.027,-122.163,-111.67,-993.963
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,31.223,-537.413,372.293,-354.28,-525.383,353.527,-371.667
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,38.091,-637.32,-298.56,-17.947,-633.613,-285.143,-27.893
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,44.049,-300.013,-563.107,-339.373,-302.84,-539.57,-329.51
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,34.827,-13.653,14.293,-722.467,-24.343,-1.22,-698.833
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,22.163,-55.12,199.8,-191.88,-52.833,208.02,-202.493
generated_Mean_Voll- ein- voll- aus C,Voll- ein- voll- aus C,23.292,-29.227,445.427,-64.48,-30.673,461.727,-41.597
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,96.168,-13.533,-19.44,-54.733,-0.793,-19.05,-58.967
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,5.81,-22.187,-260.853,92.627,-20.742,-263.535,90.357
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,14.975,-149.253,-264.733,134.533,-148.418,-257.062,146.535
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,21.468,-229.613,-104.053,403.253,-219.665,-112.302,412.12
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,20.998,297.2,205.653,585.627,296.718,182.275,576.137
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,30.604,563.92,-381.733,71.267,557.275,-373.8,77.567
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,35.445,310.747,-517.4,-44.547,308.235,-510.383,-44.972
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,20.302,111.613,-365.733,48.493,113.043,-363.86,46.823
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,13.075,17.027,-225.293,46.053,16.922,-242.285,43.662
generated_Mean_Voll- ein 1 3/4 Salto vw C,Voll- ein 1 3/4 Salto vw C,20.075,14.493,-105.44,24.467,10.655,-192.398,20.277
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,94.786,-14.944,-15.024,-45.888,-7.702,-6.106,-51.47
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,9.208,1.792,-379.616,26.352,-0.066,-375.704,29.546
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,33.52,22.432,-621.68,-9.792,22.54,-617.974,-9.29
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,50.218,34.464,-721.424,21.872,34.644,-711.908,22.414
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,19.223,-11.2,-201.072,-15.792,-11.104,-212.522,-8.864
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,8.453,0.416,-17.184,-27.936,-7.04,-37.644,-25.746
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,3.424,2.816,-300.976,14.704,3.388,-289.312,12.18
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,7.584,13.76,-370.944,-16.992,12.31,-368.856,-13.222
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,11.316,-0.032,-361.792,17.296,0.26,-362.64,13.808
generated_Mean_1 3/4 Salto vw C,1 3/4 Salto vw C,21.089,-0.24,-71.504,92.656,-11.616,-310.594,-10.746
generated_Mean_Triffis B,Triffis B,119.513,-3.728,85.28,-17.792,-8.292,66.414,-19.34
generated_Mean_Triffis B,Triffis B,38.297,-77.36,-689.296,-2.592,-89.57,-701.552,8.156
generated_Mean_Triffis B,Triffis B,53.662,-147.872,-748.64,71.728,-160.232,-750.462,88.18
generated_Mean_Triffis B,Triffis B,55.476,-282.48,-735.936,70.144,-283.272,-735.936,63.212
generated_Mean_Triffis B,Triffis B,55.473,-339.424,-763.12,15.968,-338.114,-762.022,13.83
generated_Mean_Triffis B,Triffis B,55.163,-317.536,-793.424,-83.856,-313.956,-793.236,-81.728
generated_Mean_Triffis B,Triffis B,21.241,22.08,-348.496,-130.192,8.046,-368.232,-148.674
generated_Mean_Triffis B,Triffis B,27.195,41.664,-135.456,-507.808,31.574,-124.01,-495.026
generated_Mean_Triffis B,Triffis B,17.989,94.064,149.264,-288.48,100.398,137.42,-295.138
generated_Mean_Triffis B,Triffis B,22.179,47.024,336.88,-51.824,51.644,330.584,-47.582
generated_Mean_Bauchsprung,Bauchsprung,83.24,11.899,76.285,10.834,10.969,80.867,10.364
generated_Mean_Bauchsprung,Bauchsprung,9.206,-7.774,-28.258,-8.852,-7.716,-26.753,-7.826
generated_Mean_Bauchsprung,Bauchsprung,0.832,-1.506,-23.44,4.186,-2.237,-24.005,2.969
generated_Mean_Bauchsprung,Bauchsprung,0.759,-2.819,-60.623,-7.675,-2.945,-60.383,-7.496
generated_Mean_Bauchsprung,Bauchsprung,0.846,-3.231,-84.576,-6.236,-3.252,-84.728,-6.616
generated_Mean_Bauchsprung,Bauchsprung,1.212,0.51,-98.335,-13.135,1.001,-96.526,-12.219
generated_Mean_Bauchsprung,Bauchsprung,1.448,6.974,-70.974,-0.392,7.196,-71.443,-1.496
generated_Mean_Bauchsprung,Bauchsprung,1.513,6.688,-42.53,9.867,6.889,-42.473,9.44
generated_Mean_Bauchsprung,Bauchsprung,2.058,0.195,-9.642,1.931,-0.343,-6.085,1.843
generated_Mean_Bauchsprung,Bauchsprung,4.122,-22.401,179.638,-1.463,-19.948,170.352,-3.344
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,101.239,-15.984,0.283,-16.156,-11.041,14.752,-16.518
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,11.772,-5.029,-118.208,4.342,-2.787,-94.521,4.282
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,2.154,5.409,5.538,2.386,5.907,8.197,4.012
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,0.98,0.937,15.455,6.201,1.03,15.313,6.24
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,0.893,6.089,-0.359,4.57,5.902,0.41,4.672
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,1.012,3.29,-6.634,3.385,2.72,-5.797,3.453
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,1.039,0.838,16.655,-0.524,0.553,17.066,-0.394
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,1.157,3.96,38.333,-5.55,3.623,38.534,-5.631
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,1.946,0.077,36.51,7.071,-0.587,35.502,6.697
generated_Mean_Von Bauch in Stand,Von Bauch in Stand,7.891,-8.806,42.238,9.709,-9.484,56.793,12.893
generated_Mean_Schraubensalto C,Schraubensalto C,96.278,-2.813,135.664,50.844,1.558,147.196,51.455
generated_Mean_Schraubensalto C,Schraubensalto C,5.842,77.976,251.467,161.988,81.101,238.163,150.884
generated_Mean_Schraubensalto C,Schraubensalto C,4.436,115.921,91.247,190.768,120.079,94.812,188.906
generated_Mean_Schraubensalto C,Schraubensalto C,10.46,292.372,-38.784,402.832,285.346,-37.981,398.713
generated_Mean_Schraubensalto C,Schraubensalto C,14.796,91.556,-194.44,488.214,91.988,-189.775,486.219
generated_Mean_Schraubensalto C,Schraubensalto C,14.525,-99.001,-7.36,426.653,-96.13,-7.912,424.169
generated_Mean_Schraubensalto C,Schraubensalto C,8.696,-82.574,166.74,240.927,-82.466,164.24,243.517
generated_Mean_Schraubensalto C,Schraubensalto C,6.726,-32.975,163.993,145.46,-33.867,163.528,144.864
generated_Mean_Schraubensalto C,Schraubensalto C,6.586,3.722,146.749,61.699,3.539,147.063,62.912
generated_Mean_Schraubensalto C,Schraubensalto C,5.198,36.657,184.702,23.836,35.507,186.458,24.105
