SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,10_mean_Acc_N_Fil,10_std_Acc_N_Fil,10_mean_Gyro_x_R,10_std_Gyro_x_R,10_mean_Gyro_y_R,10_std_Gyro_y_R,10_mean_Gyro_z_R,10_std_Gyro_z_R,10_mean_Gyro_x_Fil,10_std_Gyro_x_Fil,10_mean_Gyro_y_Fil,10_std_Gyro_y_Fil,10_mean_Gyro_z_Fil,10_std_Gyro_z_Fil,20_mean_Acc_N_Fil,20_std_Acc_N_Fil,20_mean_Gyro_x_R,20_std_Gyro_x_R,20_mean_Gyro_y_R,20_std_Gyro_y_R,20_mean_Gyro_z_R,20_std_Gyro_z_R,20_mean_Gyro_x_Fil,20_std_Gyro_x_Fil,20_mean_Gyro_y_Fil,20_std_Gyro_y_Fil,20_mean_Gyro_z_Fil,20_std_Gyro_z_Fil,30_mean_Acc_N_Fil,30_std_Acc_N_Fil,30_mean_Gyro_x_R,30_std_Gyro_x_R,30_mean_Gyro_y_R,30_std_Gyro_y_R,30_mean_Gyro_z_R,30_std_Gyro_z_R,30_mean_Gyro_x_Fil,30_std_Gyro_x_Fil,30_mean_Gyro_y_Fil,30_std_Gyro_y_Fil,30_mean_Gyro_z_Fil,30_std_Gyro_z_Fil,40_mean_Acc_N_Fil,40_std_Acc_N_Fil,40_mean_Gyro_x_R,40_std_Gyro_x_R,40_mean_Gyro_y_R,40_std_Gyro_y_R,40_mean_Gyro_z_R,40_std_Gyro_z_R,40_mean_Gyro_x_Fil,40_std_Gyro_x_Fil,40_mean_Gyro_y_Fil,40_std_Gyro_y_Fil,40_mean_Gyro_z_Fil,40_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,60_mean_Acc_N_Fil,60_std_Acc_N_Fil,60_mean_Gyro_x_R,60_std_Gyro_x_R,60_mean_Gyro_y_R,60_std_Gyro_y_R,60_mean_Gyro_z_R,60_std_Gyro_z_R,60_mean_Gyro_x_Fil,60_std_Gyro_x_Fil,60_mean_Gyro_y_Fil,60_std_Gyro_y_Fil,60_mean_Gyro_z_Fil,60_std_Gyro_z_Fil,70_mean_Acc_N_Fil,70_std_Acc_N_Fil,70_mean_Gyro_x_R,70_std_Gyro_x_R,70_mean_Gyro_y_R,70_std_Gyro_y_R,70_mean_Gyro_z_R,70_std_Gyro_z_R,70_mean_Gyro_x_Fil,70_std_Gyro_x_Fil,70_mean_Gyro_y_Fil,70_std_Gyro_y_Fil,70_mean_Gyro_z_Fil,70_std_Gyro_z_Fil,80_mean_Acc_N_Fil,80_std_Acc_N_Fil,80_mean_Gyro_x_R,80_std_Gyro_x_R,80_mean_Gyro_y_R,80_std_Gyro_y_R,80_mean_Gyro_z_R,80_std_Gyro_z_R,80_mean_Gyro_x_Fil,80_std_Gyro_x_Fil,80_mean_Gyro_y_Fil,80_std_Gyro_y_Fil,80_mean_Gyro_z_Fil,80_std_Gyro_z_Fil,90_mean_Acc_N_Fil,90_std_Acc_N_Fil,90_mean_Gyro_x_R,90_std_Gyro_x_R,90_mean_Gyro_y_R,90_std_Gyro_y_R,90_mean_Gyro_z_R,90_std_Gyro_z_R,90_mean_Gyro_x_Fil,90_std_Gyro_x_Fil,90_mean_Gyro_y_Fil,90_std_Gyro_y_Fil,90_mean_Gyro_z_Fil,90_std_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-61,Strecksprung,60.037,36.059,2.611,10.463,119.462,8.346,35.064,27.609,2.828,7.378,119.648,1.672,32.861,21.295,1.322,0.862,-4.601,9.76,57.955,34.268,44.182,9.793,-4.469,6.368,58.138,20.429,44.634,5.63,0.998,0.097,-4.549,5.455,12.416,15.879,6.82,11.164,-4.664,3.611,12.799,14.803,7.087,10.549,1.083,0.17,-3.964,5.456,-17.795,11.008,-20.849,10.964,-3.661,3.023,-17.507,7.517,-20.317,8.188,1.137,0.39,-1.398,5.377,-29.162,5.827,-39.568,8.721,-1.385,4.46,-29.347,3.414,-38.973,6.043,0.992,0.067,1.037,1.993,-34.338,1.641,-10.868,7.321,1.132,1.435,-34.546,0.848,-11.449,7.655,0.827,0.051,2.492,0.649,-49.695,7.354,5.777,4.542,2.595,0.391,-49.415,6.386,5.471,3.998,1.371,0.421,2.522,3.83,-55.84,7.478,0.093,11.862,2.399,2.968,-56.193,4.077,0.122,7.73,1.472,1.354,0.751,4.789,-69.405,14.519,5.935,4.258,0.599,3.216,-68.815,9.395,4.735,2.591,35.379,27.568,6.343,10.315,89.593,93.709,-5.425,19.071,5.457,5.455,89.346,74.083,-5.554,11.616
0110-MORITZ-01-135,Strecksprung,55.052,34.166,20.364,11.157,63.791,51.687,7.968,6.443,18.407,11.289,65.396,46.155,8.975,2.588,2.274,1.531,0.291,19.03,1.898,24.373,1.856,24.05,0.85,14.494,2.389,18.334,1.951,13.985,0.9,0.389,7.056,5.964,20.003,9.411,34.927,10.855,6.865,4.66,19.041,4.3,34.499,8.857,1.112,0.164,2.5,9.276,-20.404,20.738,15.347,21.511,2.583,7.883,-20.012,18.281,15.302,18.904,0.769,0.042,-4.033,1.817,-44.271,4.573,-7.898,3.048,-4.105,0.91,-43.905,3.262,-7.583,2.125,0.685,0.043,-5.138,1.457,-37.425,1.778,4.359,2.151,-5.172,0.989,-37.499,1.173,4.042,1.864,0.783,0.036,-2.735,0.856,-30.602,5.225,4.474,1.23,-2.708,0.42,-30.648,4.698,4.411,0.514,0.725,0.048,-0.198,3.045,-17.104,7.244,-1.602,5.48,-0.15,2.675,-17.876,4.643,-1.535,4.746,1.514,0.518,-5.109,11.91,-56.693,28.284,-6.02,13.101,-5.954,11.348,-54.742,24.455,-6.633,9.019,42.674,31.573,-28.001,14.799,112.934,114.636,-2.106,24.449,-26.329,8.119,110.115,95.596,-0.986,15.902
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,55.435,36.285,-19.991,15.46,234.483,48.99,72.04,28.325,-15.496,10.806,237.996,27.436,71.428,12.722,5.725,2.039,67.218,37.908,155.202,86.647,140.639,47.05,68.159,29.658,151.302,57.956,141.285,29.192,4.123,0.57,181.6,31.364,86.624,17.403,198.034,16.334,179.034,30.866,85.821,15.817,198.185,13.508,4.533,0.786,217.914,3.781,-13.431,37.905,253.988,14.414,217.844,1.864,-13.689,37.43,254.499,15.357,8.673,1.293,143.425,62.878,-125.627,21.607,346.079,28.433,141.031,59.145,-124.101,21.658,345.297,27.533,11.795,0.81,3.307,14.3,-118.133,39.272,425.457,29.392,5.878,11.328,-114.399,39.337,424.659,26.442,10.378,1.941,0.542,20.194,107.89,63.783,361.779,81.325,0.002,18.191,105.868,59.761,358.511,76.787,7.654,0.394,-21.567,10.432,228.1,20.083,118.649,44.27,-21.303,8.409,226.583,19.398,121.546,43.887,6.911,1.295,-19.309,8.099,239.288,15.052,44.561,23.922,-20.348,6.089,240.982,9.893,45.451,20.003,38.662,36.812,-5.44,43.202,313.157,57.892,27.244,39.737,-4.972,29.895,308.207,39.992,23.74,13.845
20191007-1159-FRANKFURT_1-01-371,Salto C,49.367,30.585,-12.674,20.621,239.002,68.964,3.415,24.199,-13.128,12.012,226.402,49.929,3.365,20.233,11.607,4.385,8.319,16.871,-121.326,129.506,32.47,75.78,4.989,5.199,-112.359,112.352,30.108,43.698,7.589,1.877,-17.213,17.418,248.386,342.131,-0.522,53.784,-15.05,10.984,249.28,294.041,-1.083,30.281,14.196,1.057,-19.682,27.788,647.595,52.752,2.273,10.981,-19.568,21.112,641.705,36.93,2.548,6.977,15.671,5.938,-5.639,11.38,371.84,317.146,5.438,38.952,-3.897,6.159,377.33,161.083,4.599,5.554,3.357,2.311,20.096,5.476,131.646,67.793,-0.587,21.673,18.201,3.969,127.298,49.16,-0.47,14.495,4.171,0.568,5.175,3.775,65.635,10.426,-30.552,3.395,4.845,3.215,66.599,7.218,-29.572,2.17,4.705,0.239,-16.698,4.616,98.908,27.599,-2.864,15.828,-15.94,4.594,99.747,23.802,-3.201,14.008,4.799,0.159,-25.136,6.81,180.587,25.12,4.042,25.446,-25.51,3.912,181.618,24.723,0.916,23.037,49.707,33.796,-45.356,20.177,178.887,116.297,-37.555,40.652,-43.792,8.261,175.437,93.851,-33.999,24.312
20191001-1202-FRANKFURT_2-01-183,Salto A,59.238,22.963,6.178,14.682,-242.284,98.92,37.38,46.628,3.838,5.644,-226.915,90.016,28.899,12.413,6.673,2.847,3.819,11.905,-192.27,81.468,2.013,82.824,2.915,5.735,-196.149,61.192,-1.058,47.238,8.793,0.726,-14.749,21.979,-193.882,56.234,-21.406,19.873,-14.144,13.598,-196.908,44.292,-19.908,9.675,8.876,0.279,2.24,10.109,-254.135,14.423,-16.358,18.19,2.49,6.498,-252.135,3.843,-16.172,11.591,6.963,0.419,4.561,5.41,-222.438,25.718,2.39,11.822,4.087,2.82,-220.012,24.066,2.511,6.517,7.741,0.535,-11.909,5.32,-123.566,23.723,19.693,8.13,-11.21,2.592,-127.154,21.068,18.887,3.757,8.985,0.634,-16.939,3.636,-169.015,38.102,-5.276,15.642,-16.754,2.676,-169.166,35.958,-4.974,13.483,11.336,0.901,-11.802,8.627,-251.016,9.851,-25.398,7.596,-12.257,6.197,-250.509,10.301,-24.358,5.558,10.737,1.874,-22.388,5.051,-278.908,16.399,0.504,11.098,-22.186,4.105,-279.561,7.793,-1.451,3.721,37.966,28.332,-18.707,35.58,-283.871,114.149,-76.062,239.938,-20.469,9.368,-272.73,43.271,-49.215,24.032
0827-BK1-01-62,Salto B,61.195,35.029,20.939,17.51,125.702,41.059,12.394,21.51,17.712,17.337,122.442,34.686,12.735,17.13,8.775,2.785,1.542,6.312,-73.382,61.65,28.441,25.448,2.252,6.371,-64.861,48.116,24.21,19.796,8.707,4.495,-34.945,18.162,221.585,185.446,-22.83,42.71,-34.573,13.141,219.738,177.061,-18.968,34.121,25.858,7.841,-7.372,29.849,525.08,14.159,33.992,19.335,-8.384,23.843,517.535,8.9,32.144,13.782,11.477,8.871,6.798,11.745,277.422,102.897,-1.631,21.527,7.744,5.898,281.178,96.629,-0.56,10.797,4.172,0.091,2.782,4.356,163.109,4.16,-5.808,3.125,2.794,3.122,164.0,3.554,-5.55,1.962,4.358,0.185,1.493,4.538,180.554,5.554,4.735,4.249,1.657,3.814,179.648,4.7,3.79,3.537,3.832,0.298,-4.055,2.436,130.798,27.247,-10.462,3.092,-4.218,2.014,130.887,26.057,-9.56,1.781,4.624,0.382,-4.062,4.254,74.145,12.587,10.042,15.16,-4.025,2.5,77.215,9.336,9.655,13.232,35.704,33.988,3.421,14.186,176.254,72.205,8.187,30.236,3.983,7.947,170.621,45.419,8.923,21.308
0115-MORITZ-03-25,Salto C,49.335,38.776,15.084,40.892,78.193,80.834,2.31,38.76,15.554,28.576,78.654,61.507,2.427,23.733,6.088,1.869,7.228,11.242,11.662,53.162,16.843,23.1,5.414,7.929,14.228,51.23,15.553,9.096,7.524,0.95,-5.078,10.288,233.503,57.446,-2.373,3.063,-5.308,8.19,230.749,55.617,-1.931,2.126,8.766,0.733,-12.038,3.489,277.664,10.038,-13.884,2.425,-12.374,2.729,277.233,9.433,-13.328,1.166,6.656,0.462,-17.998,3.276,240.494,9.718,-9.487,6.115,-18.057,1.549,240.245,10.025,-9.502,3.437,5.354,0.252,-19.302,4.339,199.674,10.425,-5.377,5.632,-19.091,2.422,200.664,9.936,-5.678,3.52,5.704,0.478,-22.982,6.204,215.063,14.288,0.489,14.349,-22.734,4.308,214.122,12.027,0.754,12.088,3.939,1.038,-19.576,5.472,183.473,20.809,20.281,4.715,-19.313,5.706,183.523,20.426,20.24,1.506,1.566,0.322,-0.985,10.21,115.066,22.425,3.705,12.899,-1.932,8.117,115.839,20.135,4.3,10.363,46.115,38.492,-15.657,26.623,97.218,35.671,-6.694,36.915,-12.95,13.04,96.747,16.233,-7.499,16.621
20191007-1150-FRANKFURT_2-01-141,Salto A,54.836,23.099,24.913,15.1,190.604,56.453,9.043,28.772,24.155,8.172,184.46,54.374,6.171,19.612,6.365,2.548,9.142,15.388,228.558,43.149,-32.753,20.837,9.783,9.699,225.068,32.182,-31.302,10.324,6.444,1.884,1.919,17.29,140.191,52.209,-15.281,11.629,0.858,11.922,145.589,40.52,-14.259,3.093,8.799,0.351,1.06,9.042,265.393,17.714,1.675,6.052,0.868,7.673,262.232,15.446,0.853,3.715,8.257,0.355,20.806,10.131,261.357,20.161,-0.257,6.69,20.602,8.438,261.034,15.823,0.042,1.663,8.308,0.123,19.034,9.75,200.076,13.893,-2.925,8.104,18.455,9.063,200.024,13.832,-3.483,6.122,8.617,0.442,-4.634,3.855,167.661,10.681,-10.17,9.811,-3.834,2.957,168.867,4.493,-9.86,3.997,8.679,0.418,-1.525,6.234,180.736,21.88,-2.491,7.762,-2.012,4.671,181.214,18.78,-2.335,4.444,5.124,1.72,6.217,20.807,199.1,11.731,18.74,33.709,6.393,16.944,201.127,6.86,15.347,23.886,45.592,28.101,39.116,28.986,216.252,111.992,-19.132,47.907,37.322,14.05,207.822,85.759,-15.186,22.267
20191008-1157-FRANKFURT_1-01-89,Salto A,41.433,30.953,-7.61,31.552,265.076,39.544,3.21,40.919,-11.613,15.364,260.0,26.584,4.671,21.496,5.146,2.804,2.951,9.428,205.618,47.144,-8.144,34.229,2.799,3.236,204.196,26.108,-9.393,14.225,8.427,0.451,-10.388,9.411,163.005,23.08,-4.585,11.312,-9.638,4.968,164.921,17.652,-5.062,5.877,6.825,0.836,-11.116,7.293,196.01,19.599,4.146,6.485,-11.164,5.273,194.227,12.976,4.796,2.01,5.418,0.52,6.327,6.462,135.217,16.91,4.683,10.141,5.762,4.736,136.277,15.532,3.992,7.907,6.279,0.278,0.871,2.002,133.631,18.048,-6.44,5.68,1.336,1.455,134.309,15.912,-6.512,2.568,6.932,0.532,0.564,4.572,173.94,6.691,-16.818,10.747,0.337,3.194,174.367,6.496,-16.985,9.494,9.088,0.638,-21.638,11.07,239.683,33.899,-37.384,4.627,-21.979,10.093,238.789,30.14,-36.546,2.28,7.64,0.364,-39.353,15.392,286.61,21.372,-0.2,27.568,-38.713,11.607,289.21,16.839,-3.946,19.737,55.803,33.538,-16.623,25.043,245.641,131.561,-13.5,38.032,-17.531,12.562,244.965,102.591,-8.668,16.419
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,50.383,32.35,10.79,13.802,227.736,29.968,59.275,49.366,14.105,10.564,222.812,23.209,60.58,42.885,4.473,1.823,74.29,20.508,134.145,35.371,155.221,29.162,73.363,14.096,137.665,34.168,155.002,17.358,3.546,0.701,122.0,31.158,99.894,9.981,198.374,15.619,122.021,29.8,99.215,9.352,198.069,13.687,3.986,0.656,180.836,7.281,9.926,47.776,267.149,29.05,178.618,6.861,8.236,46.875,268.067,27.228,8.727,1.681,82.35,55.49,-165.348,40.944,347.016,12.719,81.567,53.431,-163.365,40.151,346.349,11.212,12.397,0.663,-83.954,43.67,-187.0,33.283,354.72,12.389,-82.603,42.093,-182.802,33.492,354.165,8.989,10.827,0.398,-149.275,11.091,-18.223,42.648,351.975,15.82,-147.591,9.681,-19.565,44.872,350.081,12.954,8.358,0.967,-77.527,25.37,115.906,19.87,267.357,26.729,-77.372,25.134,113.864,20.562,268.03,27.161,8.161,0.507,41.397,53.478,151.92,15.346,209.113,24.661,39.888,48.744,152.764,14.955,204.976,22.612,30.542,27.659,60.249,35.369,200.989,40.675,-38.781,77.412,60.047,28.805,193.851,33.155,-29.993,69.229
20191007-1150-FRANKFURT_2-01-57,Cody C,73.583,33.947,-5.228,40.984,-46.354,117.357,72.747,79.719,-3.217,19.731,-46.422,69.493,63.019,53.158,15.037,2.839,-20.28,37.609,-15.403,81.061,28.794,36.39,-22.476,16.285,-5.723,55.194,34.459,15.583,16.567,4.224,4.206,20.079,281.703,138.698,6.357,27.495,5.216,14.294,284.043,132.102,7.111,16.514,30.932,1.943,63.919,6.16,656.163,64.033,2.324,20.624,60.58,5.876,644.527,54.105,2.745,17.197,26.199,2.166,20.955,17.811,481.29,90.01,-16.255,26.398,21.503,16.875,481.204,87.682,-12.499,15.36,12.41,8.23,-2.942,23.896,289.803,209.563,-9.714,61.639,-1.096,8.0,286.944,82.544,-11.755,18.992,6.907,0.543,19.157,6.718,128.621,23.797,2.944,8.399,18.755,3.521,136.932,5.674,2.309,3.856,8.807,0.674,20.029,5.741,153.748,17.825,-2.011,11.687,18.966,4.377,154.407,15.423,-1.642,4.486,5.581,2.404,4.106,9.28,208.719,20.202,24.332,23.436,6.167,7.646,210.343,11.205,21.17,17.164,31.507,23.337,20.394,24.883,272.752,63.923,-46.489,48.464,19.549,15.28,261.68,45.466,-44.217,29.063
20190930-1616-FRANKFURT_1-01-344,Barani A,55.556,36.843,-20.149,30.337,-94.481,124.574,64.654,47.521,-18.186,25.363,-92.66,107.819,61.088,26.842,5.148,0.79,-59.645,23.819,-135.938,65.647,52.816,39.272,-60.134,12.118,-136.848,39.442,56.731,12.602,5.502,0.609,-74.534,24.282,-113.744,23.789,65.732,28.056,-76.508,22.797,-114.973,22.195,67.213,22.191,8.305,0.625,-161.194,17.497,-165.386,8.506,132.53,23.217,-160.005,17.765,-162.577,7.863,132.388,21.81,8.513,0.207,-182.307,4.152,-39.713,53.665,192.469,13.087,-181.175,4.188,-40.576,47.181,191.216,9.468,8.058,0.307,-133.327,21.068,56.613,21.103,170.678,10.326,-133.446,20.706,56.936,20.994,170.452,9.058,7.625,0.46,-75.345,9.465,134.374,24.937,115.991,18.159,-75.778,9.798,133.78,24.069,115.814,17.824,6.98,0.469,-49.43,7.924,193.658,14.301,56.84,23.251,-49.762,6.549,192.913,10.861,57.288,20.427,8.389,0.704,-43.329,11.038,176.762,15.975,16.943,18.46,-42.643,7.128,180.974,8.077,14.351,8.523,38.001,33.351,-24.33,26.142,242.222,54.951,-7.644,40.541,-26.178,15.501,240.469,30.53,-3.222,25.472
0827-BK2-01-122,Salto A,61.003,34.282,31.08,17.97,152.42,38.004,-27.381,37.401,30.791,13.037,149.655,30.146,-24.994,32.076,2.967,1.608,3.867,14.359,84.636,30.986,-4.401,25.868,3.255,11.483,87.452,21.996,-5.663,17.674,6.573,0.659,-6.45,11.674,156.713,60.375,-8.897,12.33,-5.767,10.341,155.808,54.88,-9.198,7.005,6.316,0.652,20.085,8.78,231.933,13.066,-31.639,10.103,19.016,5.993,231.999,10.949,-29.937,7.158,5.855,0.275,-6.9,11.458,233.854,15.48,-7.988,9.153,-5.677,10.266,233.8,13.451,-8.728,6.569,5.99,0.248,4.636,5.766,203.247,7.183,-22.025,3.867,4.412,5.554,203.122,6.282,-21.532,2.046,5.331,0.279,15.516,7.235,175.146,16.757,-20.804,3.592,14.688,6.543,174.723,16.0,-20.869,2.526,5.488,0.213,-9.986,3.283,134.197,3.504,-18.746,6.349,-9.413,3.123,134.749,3.56,-18.709,5.327,6.531,0.794,-16.019,2.869,131.49,9.954,-14.434,6.102,-15.946,1.812,132.41,8.089,-14.286,4.243,32.557,32.378,-10.117,12.003,198.038,60.141,1.751,27.723,-8.411,7.568,194.038,40.877,0.218,15.28
0827-BK2-01-108,Salto A,61.078,34.757,-6.742,6.333,161.346,44.973,10.039,18.003,-4.331,4.627,157.263,36.249,8.711,9.238,4.076,1.993,16.589,12.529,84.573,35.918,-5.146,21.091,14.951,6.085,88.543,26.926,-4.803,12.728,7.551,0.286,6.696,7.108,163.495,42.148,-18.918,10.593,6.937,5.241,162.497,42.145,-18.848,5.947,6.415,0.74,15.204,4.549,249.728,9.695,-21.589,14.116,15.358,3.114,248.341,9.389,-21.423,11.248,5.344,0.091,4.453,8.323,233.055,19.983,-11.189,10.629,4.188,6.45,232.577,19.04,-11.85,7.908,5.609,0.163,-0.883,2.971,178.596,6.893,-8.984,11.68,-0.833,2.17,179.122,7.081,-8.993,9.331,5.37,0.123,-3.748,3.917,161.552,4.545,-14.522,6.232,-3.5,2.955,161.466,3.844,-14.176,5.487,5.472,0.228,0.893,4.166,148.432,3.559,-5.914,8.624,0.968,4.279,148.674,2.857,-6.166,7.603,6.699,0.878,11.892,5.978,139.822,5.162,-5.832,5.784,11.594,3.276,139.823,3.199,-6.216,3.539,31.726,30.429,5.553,15.314,188.377,65.206,-16.602,17.563,6.724,6.907,184.597,45.806,-17.053,6.162
20191001-1202-FRANKFURT_2-01-54,Strecksprung,65.353,23.93,-18.64,12.667,-128.353,43.842,23.31,24.667,-17.37,6.394,-132.036,22.825,21.934,8.864,3.963,3.543,8.824,23.313,-39.122,66.864,-22.004,32.288,7.296,17.586,-40.128,55.454,-20.278,22.693,2.671,0.327,6.131,5.585,28.164,16.419,6.663,22.656,7.074,3.792,29.041,14.197,5.641,18.375,2.899,1.327,-11.516,6.634,16.79,45.461,38.568,19.651,-10.678,4.644,17.084,35.794,37.781,8.918,1.807,1.009,1.239,7.403,26.915,23.714,23.844,8.11,0.152,5.762,26.207,23.171,24.432,7.534,0.818,0.218,-12.376,8.181,52.542,16.378,10.552,8.032,-11.728,5.301,52.044,12.414,9.815,3.237,0.694,0.12,2.453,8.904,29.601,8.365,4.146,9.611,2.73,7.693,29.833,6.09,4.586,6.281,0.804,0.176,21.991,6.762,36.822,4.956,-11.304,10.796,21.091,5.22,35.809,3.71,-10.893,9.699,1.758,0.226,16.085,7.035,29.078,5.95,-1.256,14.783,15.774,3.88,28.393,6.026,-1.926,10.981,27.88,23.941,5.352,22.101,-21.624,124.148,-29.037,129.725,7.194,4.06,-16.33,22.932,-24.322,15.053
20191007-1150-FRANKFURT_2-01-46,Barani A,59.34,22.153,2.41,15.784,-129.221,102.402,13.615,36.735,4.249,16.262,-129.72,95.58,14.335,25.299,6.966,2.491,-22.072,20.824,-245.328,77.343,70.219,20.637,-22.683,14.383,-237.773,61.158,70.196,9.588,7.59,0.603,-77.067,16.44,-84.71,17.885,112.81,10.829,-76.616,15.825,-87.511,13.857,111.399,8.955,7.86,2.03,-127.716,21.215,-126.611,32.483,139.432,28.594,-129.028,20.979,-124.921,25.375,138.302,21.043,13.706,0.548,-223.242,26.536,-72.524,52.105,208.153,54.502,-220.429,23.985,-74.397,44.192,207.964,42.029,13.359,0.752,-207.59,31.36,52.044,48.836,243.08,18.951,-206.292,28.765,52.375,39.357,242.344,13.472,10.657,0.356,-94.115,24.943,116.672,20.486,175.901,16.095,-95.097,23.998,116.853,15.029,176.34,14.287,11.618,0.768,-33.579,18.465,147.451,26.832,78.82,36.63,-35.185,15.9,150.563,24.748,80.462,30.791,7.692,2.491,-11.418,26.515,262.072,27.158,84.056,33.063,-9.22,22.542,260.788,17.201,79.888,22.2,30.0,25.479,55.842,16.573,321.922,61.301,-14.107,36.702,51.159,5.972,310.479,39.8,-9.814,29.201
20191008-1157-FRANKFURT_1-01-387,Barani A,61.651,35.765,-12.559,18.891,-163.203,82.386,11.999,27.439,-11.373,6.948,-163.089,73.824,16.102,12.031,8.705,2.146,-16.322,8.172,-197.827,102.66,131.219,55.123,-18.975,6.942,-193.372,84.539,128.07,40.879,7.259,0.623,-87.593,21.716,-103.718,34.019,129.562,11.086,-87.512,23.235,-104.837,28.605,130.972,8.388,9.717,0.946,-167.887,11.993,-119.37,26.418,185.519,28.063,-165.793,12.197,-117.298,24.174,186.928,27.521,10.591,0.471,-131.485,32.9,17.506,62.081,321.508,47.5,-130.515,30.073,18.749,59.472,316.61,40.234,8.737,1.011,-41.171,27.055,170.106,12.176,243.722,58.263,-41.871,25.611,166.825,13.199,243.504,57.995,7.214,0.413,8.693,8.245,158.721,5.986,58.982,37.416,8.322,6.555,159.162,3.406,61.204,37.246,7.202,0.476,14.676,4.434,192.087,25.845,-13.77,18.483,15.327,1.768,193.799,24.091,-13.171,16.956,6.858,0.401,28.842,8.935,279.603,25.312,-17.764,31.324,27.975,4.328,279.694,25.691,-19.88,17.688,50.723,34.675,22.354,26.204,297.889,100.789,-25.73,37.776,21.857,7.283,300.305,68.831,-24.627,20.364
20191007-1534-FRANKFURT_2-01-52,Barani A,57.219,26.138,-33.278,18.579,-123.502,110.665,98.994,48.022,-33.034,16.358,-129.349,102.984,95.968,25.663,8.496,2.942,-50.358,29.932,-284.152,92.828,74.335,34.34,-48.917,19.212,-275.886,74.491,77.308,22.509,8.251,0.426,-60.299,30.797,-119.414,9.095,147.171,18.773,-61.031,27.743,-120.218,10.021,148.601,18.274,10.167,0.545,-141.25,27.491,-43.488,43.761,270.233,45.011,-141.402,25.888,-42.816,41.213,267.31,40.386,8.754,0.37,-176.005,20.895,64.595,14.609,282.521,13.714,-174.024,17.707,63.318,14.579,282.291,12.789,9.641,0.143,-104.379,24.396,103.199,11.335,211.838,32.623,-103.222,25.112,103.867,11.688,211.037,30.986,9.535,0.231,-5.943,20.866,180.344,33.251,113.16,26.317,-6.94,22.048,180.443,31.777,113.554,26.044,11.205,0.768,29.912,14.664,275.461,28.039,13.894,34.282,28.758,10.278,275.23,26.802,14.633,30.881,11.582,1.532,15.21,8.266,295.908,29.59,-22.841,17.134,15.671,3.673,294.998,23.31,-23.298,10.57,56.671,31.598,19.481,23.499,185.863,100.744,-4.397,62.734,16.557,12.109,184.901,79.142,-0.992,30.059
20191007-1534-FRANKFURT_2-01-91,Salto B,58.107,29.763,-33.84,21.765,160.256,87.03,-12.667,57.97,-31.743,12.401,163.973,47.843,-13.834,24.291,9.817,3.195,7.529,11.732,-112.716,86.141,55.79,37.265,4.784,2.751,-106.469,74.572,54.061,19.542,10.296,2.78,19.499,22.01,32.251,175.286,36.695,23.275,21.888,19.326,41.661,167.715,35.685,20.535,22.821,4.241,63.277,25.189,633.123,89.23,-67.428,34.691,61.618,17.142,617.877,85.632,-65.871,24.126,21.233,5.425,21.053,26.601,502.111,97.95,-71.908,14.611,20.529,21.565,502.43,93.933,-70.297,9.606,5.831,2.034,-4.982,2.183,243.842,56.277,-19.31,11.547,-4.849,1.007,245.816,55.156,-20.384,11.234,4.401,0.632,-3.901,5.434,131.943,15.103,-7.256,5.798,-4.479,3.843,133.67,14.135,-7.172,3.27,5.46,0.691,-3.389,12.926,135.86,12.294,-11.682,11.989,-3.38,9.391,135.623,10.794,-11.919,8.64,6.9,0.657,-10.793,8.091,172.311,15.027,-30.809,4.702,-10.963,6.988,172.304,12.219,-29.539,2.013,44.727,29.597,-4.769,32.852,162.656,103.179,-4.775,70.292,-6.782,17.843,156.775,69.231,-5.826,32.807
